Code,Area_name,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
E09000032,Wandsworth,10498.22064,2020,2020/12/11,S,F,2950000,SW156NW,E09000032,{BA558B32-BEB5-76EF-E053-6B04A8C0B4B7},18940322,281,7,11,53,76,England and Wales: 1900-1929
E09000022,Lambeth,10504.83676,2020,2020/12/21,T,F,1390000,SW82XT,E09000022,{BC8936BB-B3EC-0E2C-E053-6C04A8C0DBF4},17965967,132.32,5,11,67,72,England and Wales: 1900-1929
E09000022,Lambeth,10511.36364,2020,2020/12/2,F,L,462500,SW49HX,E09000022,{BA558B33-25CE-76EF-E053-6B04A8C0B4B7},17893351,44,2,12,75,80,England and Wales: 1900-1929
E09000014,Haringey,10513.41414,2020,2020/12/1,F,L,772000,N102JY,E09000014,{BA558B32-D2C9-76EF-E053-6B04A8C0B4B7},17310438,73.43,3,11,57,67,England and Wales: 1900-1929
E09000003,Barnet,10517.24138,2020,2020/12/18,D,F,1830000,N20DE,E09000003,{BC8936BB-3392-0E2C-E053-6C04A8C0DBF4},16139421,174,7,11,61,71,England and Wales: 1930-1949
E09000007,Camden,10517.9704,2020,2020/12/18,F,L,497500,NW19RR,E09000007,{BC8936BB-C8C9-0E2C-E053-6C04A8C0DBF4},16527432,47.3,2,11,55,70,England and Wales: before 1900
E09000013,Hammersmith and Fulham,10518.86792,2020,2020/12/21,F,L,557500,SW61SY,E09000013,{BC8936BB-C7F6-0E2C-E053-6C04A8C0DBF4},17208265,53,3,11,62,70,England and Wales: 1967-1975
E09000027,Richmond upon Thames,10526.31579,2020,2020/12/3,F,L,600000,TW13EH,E09000027,{BC8936BC-04BC-0E2C-E053-6C04A8C0DBF4},18379267,57,3,11,56,75,England and Wales: 1900-1929
E09000027,Richmond upon Thames,10540.30875,2020,2020/12/10,D,F,614500,TW94LB,E09000027,{BC8936BC-04DE-0E2C-E053-6C04A8C0DBF4},18352970,58.3,,11,82,83,NO DATA!
E09000033,Westminster,10547.94521,2020,2020/12/15,F,L,770000,W21TQ,E09000033,{BC8936BB-C852-0E2C-E053-6C04A8C0DBF4},19021416,73,3,11,65,78,England and Wales: before 1900
E09000028,Southwark,10549.82818,2020,2020/12/18,S,F,460500,SE167RH,E09000028,{BC8936BB-E761-0E2C-E053-6C04A8C0DBF4},18511797,43.65,4,11,52,65,England and Wales: 1983-1990
E09000011,Greenwich,10555.55556,2020,2020/12/18,T,F,665000,SE109EL,E09000011,{BC8936BC-0867-0E2C-E053-6C04A8C0DBF4},17010348,63,4,11,61,87,England and Wales: before 1900
E09000022,Lambeth,10555.55556,2020,2020/12/3,F,L,475000,SW120BH,E09000022,{BA558B33-260C-76EF-E053-6B04A8C0B4B7},17928372,45,2,12,70,76,England and Wales: 1900-1929
E09000033,Westminster,10556.20268,2020,2020/12/11,F,L,725000,W91LZ,E09000033,{BA558B32-D8E1-76EF-E053-6B04A8C0B4B7},19060101,68.68,2,12,62,63,England and Wales: 1900-1929
E09000028,Southwark,10558.82353,2020,2020/12/2,T,F,897500,SE220HG,E09000028,{BA558B33-0352-76EF-E053-6B04A8C0B4B7},18484246,85,4,11,55,85,England and Wales: 1900-1929
E09000007,Camden,10571.42857,2020,2020/12/8,F,L,1110000,NW32JP,E09000007,{BA558B32-D85C-76EF-E053-6B04A8C0B4B7},16589850,105,4,11,35,75,England and Wales: 1900-1929
E09000033,Westminster,10584.41558,2020,2020/12/9,T,F,815000,W104RN,E09000033,{BC8936BB-C88E-0E2C-E053-6C04A8C0DBF4},19018834,77,3,11,52,84,England and Wales: before 1900
E09000019,Islington,10584.41558,2020,2020/12/9,F,L,815000,N13JZ,E09000019,{BA558B32-D8CB-76EF-E053-6B04A8C0B4B7},17637242,77,3,12,67,79,England and Wales: before 1900
E09000019,Islington,10588.23529,2020,2020/12/16,F,L,360000,N13BY,E09000019,{BC8936BB-C846-0E2C-E053-6C04A8C0DBF4},17650778,34,2,11,71,78,England and Wales: 1930-1949
E09000033,Westminster,10596.30232,2020,2020/12/15,F,L,521550,NW15RH,E09000033,{BC8936BB-C969-0E2C-E053-6C04A8C0DBF4},19068990,49.22,2,11,73,77,England and Wales: 1950-1966
E09000014,Haringey,10597.82609,2020,2020/12/9,T,F,975000,N156AP,E09000014,{BA558B32-D3DD-76EF-E053-6B04A8C0B4B7},17233738,92,5,11,67,87,England and Wales: 1900-1929
